Company ID,Name,Website,Round,Amount (USD M),Year,Month,Investors,News link,Standardised round label
1718802,vlot,http://vlot.ch,SEED,0.4,2022,10,SICTIC,https://www.sictic.ch/startup/vlot/,
3032971,Covalo,http://covalo.com,EARLY VC,1.2,2022,10,SICTIC,https://www.sictic.ch/sictic-startups/,
918003,Get Local,https://getlocal.ch/,EARLY VC,0.6,2022,10,SICTIC,,
974213,Signifikant Solutions,https://signifikant.biz/,EARLY VC,1.2,2022,10,SICTIC,https://www.sictic.ch/startup/signifikant-biz/,
3240668,Apian,http://apian.aero,SEED,0,2022,10,Creator Fund,,
3790377,Fieldstream,http://fieldstream.ai,SEED,0.484048,2022,10,,,
4511061,Dublin Vinyl,http://dublinvinyl.com,EARLY VC,1.1,2022,10,,https://www.independent.ie/business/irish/dublin-vinyl-raises-1m-in-latest-equity-round-42098026.html,
4336377,LegionellaDossier,http://legionelladossier.com,SEED,4.4,2022,10,Newion;Volta Ventures;Concrete Ventures,https://bit.ly/3gIjPx3,
2037351,Fanprime,http://fanprime.io,SEED,0.605,2022,10,Accurafy4,,
3161452,Brik,https://www.brik.com/,SEED,2.75,2022,10,,,
2947120,Hormona,http://hormona.io,SEED,1.5,2022,10,SFC Capital,https://tcrn.ch/3D5B6Zw,
2935657,RedElectric,http://redelectric.fr,SEED,0.935,2022,10,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-septembre-2022/,
4535644,JNPR Spirits,http://jnprspirits.com,EARLY VC,1.21,2022,10,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-septembre-2022/,
2015015,Solivus Limited,http://www.solivus.com,SEED,2.376,2022,10,Seedrs,,
4290321,kennek Solutions,http://kennek.io,SEED,0,2022,10,,,
4133768,Algiecel,http://algiecel.com,SEED,1.466666,2022,10,VF Venture,,
3169948,LeGratin.io,https://legratin.io,SEED,1.65,2022,10,,,
1818836,DUA,https://www.dua.com/,SERIES A,4,2022,10,,https://www.startupticker.ch/en/news/swiss-dua-com-buys-german-dating-app,
4526301,Greenwood-Power,http://greenwood-power.com,SERIES A,2.2,2022,10,eQventure;tecnet equity,,
3963451,Blockmate,http://blockmate.io,SEED,1.65,2022,10,BADideas.fund,,
1506027,JustFA,http://justfa.uk,EARLY VC,0.792,2022,10,,,
4288228,Optim Finance,http://optim.finance,SEED,3.9,2022,10,Fenbushi Capital;Fundamental Labs;Alameda Research;Wave Digital Assets;Genblock Capital;Shima Capital;Double Peak,https://optim-labs.medium.com/optim-seed-round-funding-126481413928,
1818885,RoboDeck,http://www.robo-deck.com,SEED,0,2022,10,SOSV,,
3869189,Annanow AG,http://annanow.com,SEED,4.583334,2022,10,,,
4533583,Vitarka Therapeutics,http://vitarka.co.uk,SEED,0,2022,10,Indie Bio;SOSV,,
4130950,ai-omatic,https://www.ai-omatic.com/,SEED,0,2022,10,,,
4526395,Delta Business School,http://delta-business.school,EARLY VC,1.21,2022,10,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-septembre-2022/,
4522721,TetaVi,http://tetavi.com,SERIES A,15,2022,10,Insight Partners,https://www.sohu.com/a/600273118_121124370,
4522599,DIVIE,http://divie.fr,SEED,2.2,2022,10,Bpifrance,https://data.ladn.eu/blog/startup/levee-fonds-divie-cbd/,
3279435,Elcoin,http://elcoin.co.uk,SERIES A,1.2,2022,10,,,
4511729,Mellow,http://getmellow.app,SEED,1.32,2022,10,,,
4511429,Everyangle,http://everyangle.ie,SEED,2.97,2022,10,Enterprise Ireland;Act Venture Capital;Sure Valley Ventures;DBIC Ventures,https://www.niutoushe.com/lives/jisuanjishijuepingtaieveryanglehuo270wanouyuanrongzisurevalleyventuresdengduojiazibenlianhelingtou,
1947599,Pack,http://thepack.tech,SEED,0.1045,2022,10,,https://www.lavocedigenova.it/2022/11/18/leggi-notizia/argomenti/innovazione/articolo/benessere-aziendale-la-genovese-happily-investe-nel-mentoring.html,
3284356,Meitner,http://meitner.se,SEED,1.5,2022,10,,,
4290891,Fez Delivery,http://fezdelivery.co,SEED,0.12,2022,10,,https://disrupt-africa.com/2022/11/04/9-african-startups-selected-for-latest-edition-of-techstars-toronto-accelerator/?utm_source=dlvr.it&utm_medium=twitter&utm_campaign=9-african-startups-selected-for-latest-edition-of-techstars-toronto-accelerator,
2369641,Payment Systems Regulator,http://psr.org.uk,SERIES A,30.36,2022,10,,https://thepaypers.com/online-payments/tymit-secures-gbp-23-mln-series-a-funding-round--1258881,
984766,PBD Biotech,http://www.pbdbio.com/,EARLY VC,3.168,2022,10,Midlands Engine Investment Fund,https://www.insidermedia.com/news/midlands/spin-out-behind-blood-test-raises-2.4m,
4327050,Flowlife,http://flowlife.com,SEED,2.057206,2022,10,,https://mailchi.mp/e3a0ca255edd/swedish-tech-weekly-181-kive-tradera-flowlife-steep-flox-pirr-nona-parametric-solutions-della8-spotscale-exeger-hormona-gwen-node-vc-i-15523948,
1827734,Ceeyu,https://www.ceeyu.io,SEED,0.605,2022,10,,,
4323849,Gentian,http://gentian.io,SEED,0.1,2022,10,gener8tor,https://www.gener8tor.com/news/gener8tor-announces-startups-selected-for-fall-2022-sustainability-accelerator,
2902266,Fussy,https://www.getfussy.com/,SEED,1.452,2022,10,,http://dlvr.it/Sb3j3h,
4323351,Bloomsbury Genetic Therapies,http://bloomsburygtx.com,SEED,6.6,2022,10,UCL Technology Fund,https://www.bioworld.com/articles/690534-bloomsbury-advancing-gene-therapies-for-rare-diseases-with-5m-seed-financing,
952959,Brenger,http://brenger.nl/,EARLY VC,2.75,2022,10,,,
4322805,Capsule Corp. Labs,http://capsulecorplabs.com,EARLY VC,2.75,2022,10,Ternoa,https://hackernoon.com/ternoa-completes-a-$73m-seed-to-foster-nft-mass-adoption-and-launches-web3-activity-in-dubai-uae,
1722986,Limula,http://www.limula.ch,SEED,0,2022,10,Biopole,https://www.startupticker.ch/en/news/biopole-funding-for-limula-and-nd-biosciences,
4256876,BOLDR,http://shopboldr.com,SEED,0,2022,10,,,
4287571,ASC Direct,http://ascdirect.co.uk,EARLY VC,2.772,2022,10,Frontier Development Capital,https://www.yorkshirepost.co.uk/business/management-buy-in-for-yorkshire-box-making-firm-after-ps21m-investment-3862914,
3961643,Yeeld,http://yeeld.com,SEED,0.39336,2022,10,,https://www.crowdcube.com/companies/yeeld/pitches/qr9DVb,
3598912,Axelor,http://axelor.com,SERIES A,11,2022,10,Elevation Capital Partners,http://www.businesswire.com/news/home/20220909005177/en/Axelor-Raises-%E2%82%AC10M-in-Series-A-Fundraising-and-Enters-the-UK-and-North-American-Markets/,
2943121,Rising Team,http://risingteam.com,SEED,0,2022,10,,,
3535808,VYZYO,http://vyzyo.com,SEED,5,2022,10,,https://buff.ly/3BZUUfj,
3006579,Olly's,http://ollys-ollys.com,SEED,1.32,2022,10,,http://dlvr.it/SZhKtT,
3925333,Twain,http://twain.ai,SEED,2,2022,10,TQ Ventures,,
3029034,Legal Services Board,http://legalservicesboard.org.uk,SEED,2.244,2022,10,Episode 1 Ventures,https://www.uktechnews.info/2022/10/07/lawhive-secures-1-7-million-seed-investment-led-by-episode-1-ventures/,
2423995,a3.co,http://aisle-3.co,SEED,0.3234,2022,10,FJ Labs,,
2989954,BRODMIN,http://brodmin.com,SEED,1.5,2022,10,Western Technology Investment;Hivers and Strivers,http://www.businesswire.com/news/home/20221005005707/en/Tumble-Smart-Laundry-Announces-7-Million-in-Seed-Funding-Led-by-Hivers-and-Strivers/,
3518716,Hyper Food Robotics Ltd.,http://hyper-robotics.com,SEED,0,2022,10,,https://www.techinasia.com/velocity-ventures-invests-robotic-kitchen-startup,
4317211,Delian Alliance Industries,https://delian.ai/,SEED,0,2022,10,Marathon Venture Capital,https://marathon.vc/blog/restoring-european-strategic-autonomy-with-lambda-automata,
2438728,OVOMIND,http://ovomind.com,SEED,1.008334,2022,10,,,
2637469,PreComb,https://www.precomb.com/,SEED,1.191666,2022,10,Kinled Holding;LongeVC,https://longevc.com/news-media/tpost/pacry86j71-personalised-oncology-platform-precomb-t,
1714653,Drupps,http://drupps.com,LATE VC,2.154016,2022,10,Sandberg Development,"https://news.cision.com/drupps/r/drupps-completes-directed-new-issue-of-shares,c3640554",
2021779,NuBreed Hotels,http://nubreedhotels.com,SEED,1.056,2022,10,,,
2924532,Pandabikes,https://pandabikes.es,EARLY VC,5.17,2022,9,Kibo Ventures;Big Sur Ventures;JME Ventures,,
1511487,Poplar Studio,https://poplar.studio/,SEED,0,2022,9,Haatch,https://haatch.com/portfolio/poplar/,
2082307,Snapfix,http://snapfix.com,SEED,1,2022,9,Halo Business Angel Network,,
5428765,Predictiv,http://predictivdata.com,SEED,3,2022,9,,,
5402991,Carol,http://carol.health,SEED,0.33,2022,9,,,
5416017,Fathom Protocol,http://fathom.fi,SEED,1,2022,9,XVC Tech,,
2035421,Balloon Ventures,http://balloonventures.com,SEED,4.9,2022,9,Challenge Fund for Youth Employment,,
